	word	TF(5_7.txt)	TF(15_2.txt)	TF(10547_3.txt)	TF(12230_7.txt)	IDF	TF-IDF(5_7.txt)	TF-IDF(15_2.txt)	TF-IDF(10547_3.txt)	TF-IDF(12230_7.txt)
0	definitely	0.034013605442176874	0.002849002849002849	0.03875968992248062	0.0635593220338983	1.3862943611198906	0.009430573885169323	0.003949556584387153	0.010746467915658066	0.01174825729762619
1	beef	0.006802721088435374	0.002849002849002849	0.03875968992248062	0.00423728813559322	1.3862943611198906	0.009430573885169323	0.003949556584387153	0.010746467915658066	0.005874128648813095
2	might	0.006802721088435374	0.011396011396011397	0.09302325581395349	0.046610169491525424	1.3862943611198906	0.004715286942584661	0.007899113168774306	0.02149293583131613	0.005874128648813095
3	unfortunately	0.013605442176870748	0.002849002849002849	0.007751937984496124	0.00423728813559322	1.3862943611198906	0.009430573885169323	0.0019747782921935766	0.010746467915658066	0.005874128648813095
4	shabana	0.006802721088435374	0.002849002849002849	0.015503875968992248	0.025423728813559324	1.3862943611198906	0.009430573885169323	0.003949556584387153	0.010746467915658066	0.005874128648813095
5	gore	0.006802721088435374	0.022792022792022793	0.007751937984496124	0.00423728813559322	1.3862943611198906	0.009430573885169323	0.003949556584387153	0.02149293583131613	0.0012189918324228002
6	jarring	0.034013605442176874	0.002849002849002849	0.007751937984496124	0.00423728813559322	1.3862943611198906	0.009430573885169323	0.003278428176088671	0.010746467915658066	0.005874128648813095
7	theyre	0.006802721088435374	0.002849002849002849	0.015503875968992248	0.00423728813559322	1.3862943611198906	0.009785104505162614	0.003949556584387153	0.010746467915658066	0.0029370643244065477
8	remember	0.013605442176870748	0.008547008547008548	0.007751937984496124	0.00423728813559322	1.3862943611198906	0.009430573885169323	0.003949556584387153	0.002230093584897526	0.005874128648813095
9	my	0.006802721088435374	0.002849002849002849	0.007751937984496124	0.012711864406779662	1.3862943611198906	0.009430573885169323	0.003949556584387153	0.010746467915658066	0.005874128648813095
10	two	0.013605442176870748	0.002849002849002849	0.015503875968992248	0.00847457627118644	0.6931471805599453	0.009430573885169323	0.00592433487658073	0.0	0.005874128648813095
11	bearly	0.006802721088435374	0.002849002849002849	0.007751937984496124	0.01694915254237288	1.3862943611198906	0.004715286942584661	0.0019747782921935766	0.010746467915658066	0.01174825729762619
12	saving	0.006802721088435374	0.09116809116809117	0.007751937984496124	0.00423728813559322	1.3862943611198906	0.009430573885169323	0.0016392140880443354	0.02149293583131613	0.0024379836648456004
13	kevin	0.006802721088435374	0.014245014245014245	0.023255813953488372	0.00423728813559322	1.3862943611198906	0.0	0.003949556584387153	0.010746467915658066	0.0
14	please	0.034013605442176874	0.019943019943019943	0.007751937984496124	0.0211864406779661	1.3862943611198906	0.02829172165550797	0.0	0.010746467915658066	0.005874128648813095
15	changes	0.006802721088435374	0.002849002849002849	0.007751937984496124	0.00423728813559322	1.3862943611198906	0.009430573885169323	0.00592433487658073	0.010746467915658066	0.0029370643244065477
16	anywhere	0.006802721088435374	0.002849002849002849	0.007751937984496124	0.00423728813559322	1.3862943611198906	0.004715286942584661	0.003949556584387153	0.0	0.005874128648813095
17	he	0.034013605442176874	0.014245014245014245	0.007751937984496124	0.00847457627118644	1.3862943611198906	0.018861147770338645	0.007899113168774306	0.005373233957829033	0.0024379836648456004
18	forward	0.013605442176870748	0.002849002849002849	0.015503875968992248	0.00423728813559322	1.3862943611198906	0.0019570209010325228	0.003949556584387153	0.010746467915658066	0.005874128648813095
19	than	0.006802721088435374	0.017094017094017096	0.007751937984496124	0.038135593220338986	0.6931471805599453	0.009430573885169323	0.003949556584387153	0.005373233957829033	0.005874128648813095
20	that	0.02040816326530612	0.008547008547008548	0.007751937984496124	0.00423728813559322	0.28768207245178085	0.009430573885169323	0.0016392140880443354	0.010746467915658066	0.0029370643244065477
